Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
80,2,1,1,1,20,2800000000.0,93333.33
70,2,0,1,1,23,1200000000.0,40000.0
160,1,0,0,0,125,3600000.0,120.0
40,0,0,0,0,114,165000000.0,5500.0
88,2,1,1,1,128,2860000000.0,95333.33
141,3,1,1,1,120,3810000000.0,127000.0
140,3,1,1,1,120,1790000000.0,59666.67
120,2,1,1,1,120,1530000000.0,51000.0
66,2,0,1,0,25,1000000000.0,33333.33
70,2,1,1,1,123,3500000000.0,116666.67
75,2,1,0,1,70,3000000000.0,100000.0
70,2,0,1,1,46,1800000000.0,60000.0
150,3,1,1,1,136,20000000000.0,666666.67
95,2,1,1,1,63,950000000.0,31666.67
127,2,1,1,1,158,6000000000.0,200000.0
123,3,1,1,1,147,3700000000.0,123333.33
63,2,1,1,1,158,2000000000.0,66666.67
90,2,1,1,1,123,3050000000.0,101666.67
105,2,1,1,1,118,605000000.0,20166.67
180,3,1,1,1,119,9900000000.0,330000.0
120,3,1,0,1,121,3700000000.0,123333.33
65,2,1,1,1,53,2500000000.0,83333.33
158,3,1,1,1,51,10480000000.0,349333.33
144,3,1,1,1,30,7632000000.0,254400.0
144,3,1,1,1,123,7632000000.0,254400.0
130,3,1,1,1,58,12300000000.0,410000.0
245,3,1,1,1,51,26950000000.0,898333.33
190,3,1,1,1,78,24300000000.0,810000.0
63,2,1,1,1,27,3000000000.0,100000.0
75,2,1,1,1,41,2100000000.0,70000.0
88,2,1,0,1,61,4700000000.0,156666.67
108,2,1,1,1,119,9180000000.0,306000.0
117,2,1,1,1,72,1579500000.0,52650.0
200,3,1,1,1,119,12000000000.0,400000.0
65,1,1,1,0,121,1750000000.0,58333.33
90,2,1,1,1,27,3780000000.0,126000.0
125,2,1,1,1,69,8100000000.0,270000.0
140,3,1,1,1,69,9100000000.0,303333.33
71,2,0,1,1,66,1550000000.0,51666.67
71,2,0,1,1,75,1640000000.0,54666.67
236,4,1,1,1,58,20000000000.0,666666.67
67,2,1,1,1,27,2750000000.0,91666.67
60,1,1,1,1,123,1750000000.0,58333.33
220,3,1,1,1,69,15400000000.0,513333.33
44,1,1,1,0,14,350000000.0,11666.67
68,1,1,1,1,69,4115000000.0,137166.67
100,2,1,1,1,119,8000000000.0,266666.67
86,2,1,1,1,118,580000000.0,19333.33
84,2,1,1,1,118,560000000.0,18666.67
94,2,1,1,1,69,4800000000.0,160000.0
55,1,0,1,0,153,1550000000.0,51666.67
113,2,1,1,1,136,7500000000.0,250000.0
71,2,1,1,1,72,630000000.0,21000.0
70,2,1,1,0,37,2000000000.0,66666.67
200,3,1,1,1,63,2400000000.0,80000.0
106,2,1,1,1,63,1100000000.0,36666.67
320,4,1,1,1,136,24000000000.0,800000.0
114,2,1,1,1,163,3820000000.0,127333.33
100,2,1,1,1,123,6000000000.0,200000.0
122,2,1,1,1,136,5800000000.0,193333.33
200,2,1,1,0,32,3500000000.0,116666.67
154,3,1,1,1,136,12300000000.0,410000.0
210,3,1,1,1,119,15750000000.0,525000.0
200,3,1,1,1,41,11000000000.0,366666.67
65,1,1,1,1,158,3000000000.0,100000.0
124,3,1,1,1,121,3968000000.0,132266.67
83,2,1,1,1,133,1909000000.0,63633.33
270,4,1,1,1,51,37800000000.0,1260000.0
104,2,1,1,1,41,5700000000.0,190000.0
150,3,1,1,1,165,10490000000.0,349666.67
103,3,1,1,1,153,3200000000.0,106666.67
48,1,1,1,1,153,1920000000.0,64000.0
165,3,1,1,1,58,12300000000.0,410000.0
135,2,1,1,0,58,7400000000.0,246666.67
86,2,1,1,1,136,6200000000.0,206666.67
75,2,1,1,1,41,2350000000.0,78333.33
58,1,1,1,1,41,1850000000.0,61666.67
125,2,1,1,1,151,21500000000.0,716666.67
82,2,1,1,1,127,1886000000.0,62866.67
58,2,1,1,1,152,2200000000.0,73333.33
101,2,1,1,1,25,2323000000.0,77433.33
90,2,1,1,1,106,6800000000.0,226666.67
180,3,1,1,1,51,20700000000.0,690000.0
132,3,1,1,1,58,6250000000.0,208333.33
81,2,1,1,1,166,1863000000.0,62100.0
153,3,1,1,1,119,13000000000.0,433333.33
166,3,1,1,1,124,12500000000.0,416666.67
200,3,1,1,1,119,17000000000.0,566666.67
113,2,1,1,1,119,8500000000.0,283333.33
100,2,1,1,1,166,2300000000.0,76666.67
80,2,1,1,1,27,3350000000.0,111666.67
76,2,1,1,1,75,2000000000.0,66666.67
128,3,1,1,1,123,5700000000.0,190000.0
210,3,1,1,1,151,27000000000.0,900000.0
140,2,1,1,1,151,12600000000.0,420000.0
74,2,1,1,1,11,1702000000.0,56733.33
75,1,1,1,1,27,3000000000.0,100000.0
120,2,1,1,1,119,7500000000.0,250000.0
120,2,1,1,1,119,7500000000.0,250000.0
85,2,1,1,1,44,5000000000.0,166666.67
105,2,1,1,1,118,700000000.0,23333.33
175,3,1,1,1,51,15600000000.0,520000.0
170,3,1,1,1,51,15350000000.0,511666.67
58,1,1,1,1,43,2810000000.0,93666.67
75,2,1,1,1,116,395000000.0,13166.67
160,3,1,1,1,58,15100000000.0,503333.33
62,1,1,1,1,152,1850000000.0,61666.67
93,2,1,1,1,135,1450000000.0,48333.33
75,2,1,1,1,72,715000000.0,23833.33
86,2,1,1,0,72,1200000000.0,40000.0
120,2,1,1,1,162,4260000000.0,142000.0
95,2,1,1,1,14,1500000000.0,50000.0
70,2,1,1,0,153,2120000000.0,70666.67
75,2,1,1,0,41,2000000000.0,66666.67
81,2,1,0,1,118,590000000.0,19666.67
65,1,1,1,0,153,1930000000.0,64333.33
75,2,1,1,1,41,2730000000.0,91000.0
106,2,1,1,0,41,3150000000.0,105000.0
115,2,1,1,1,41,4600000000.0,153333.33
100,2,1,1,1,147,3000000000.0,100000.0
118,2,1,1,1,41,4500000000.0,150000.0
116,2,1,1,1,41,5100000000.0,170000.0
76,2,1,1,1,147,2200000000.0,73333.33
74,2,1,1,0,41,2300000000.0,76666.67
96,2,1,1,1,136,4500000000.0,150000.0
87,2,1,1,1,118,625000000.0,20833.33
43,1,1,1,0,109,1620000000.0,54000.0
155,3,1,1,1,106,17050000000.0,568333.33
53,1,1,1,1,41,1920000000.0,64000.0
160,3,1,1,1,51,17600000000.0,586666.67
78,2,1,1,1,147,2250000000.0,75000.0
230,3,1,1,1,106,25300000000.0,843333.33
55,1,1,1,1,153,1850000000.0,61666.67
120,2,1,1,0,136,11700000000.0,390000.0
78,2,1,1,1,158,3600000000.0,120000.0
95,2,1,1,1,158,4400000000.0,146666.67
170,3,1,1,1,58,15400000000.0,513333.33
175,3,1,1,1,151,22750000000.0,758333.33
115,3,1,1,1,123,4500000000.0,150000.0
113,2,1,1,1,123,4300000000.0,143333.33
85,2,1,1,1,123,3380000000.0,112666.67
140,3,1,1,1,136,10000000000.0,333333.33
90,2,1,1,1,136,6500000000.0,216666.67
63,1,1,0,0,123,2200000000.0,73333.33
75,2,1,1,1,27,3220000000.0,107333.33
130,3,1,1,1,123,6240000000.0,208000.0
